ts; dow; hod;default broker_mwh; default broker_price ;CrocodileAgent_mwh; CrocodileAgent_price ;Bunnie_mwh; Bunnie_price 
1264; 2; 16;[-0.6699; 111.8245];[8.5136; -11.5443];[42.5756; -30.4018]
1265; 2; 17;[-0.3095; 109.9583];[7.0204; -10.8521];[42.7411; -30.0646]
1266; 2; 18;[-0.2815; 110.8760];[0.0000; 0.0000];[39.6941; -35.3982]
1267; 2; 19;[-0.2564; 83.9829];[0.0000; 0.0000];[30.1941; -35.6096]
1268; 2; 20;[-0.1647; 200.1521];[0.0000; 0.0000];[23.1008; -36.2893]
1269; 2; 21;[-0.1907; 52.1372];[4.8032; -23.5681];[30.1510; -38.8333]
1270; 2; 22;[-0.1879; 43.8707];[8.4010; -36.6966];[28.3745; -34.6587]
1271; 2; 23;[-0.1876; 45.9157];[17.1679; -36.4472];[31.7702; -41.8383]
1272; 3; 0;[-0.1619; 40.9319];[11.0287; -32.3708];[36.6476; -33.0169]
1273; 3; 1;[-0.1622; 39.7819];[9.8088; -32.4684];[35.5584; -36.3628]
1274; 3; 2;[-0.1848; 35.5760];[12.3199; -32.4993];[35.8156; -35.6011]
1275; 3; 3;[-0.1924; 36.4698];[17.1909; -31.6947];[32.6023; -30.0889]
1276; 3; 4;[-0.2018; 35.8986];[11.3488; -37.5109];[29.0642; -27.3492]
1277; 3; 5;[-0.1789; 37.4429];[15.4797; -37.3819];[26.0355; -30.5363]
1278; 3; 6;[-0.3184; 47.7389];[6.3047; -8.0380];[16.1022; -32.5461]
1279; 3; 7;[-0.9721; 51.4115];[5.0013; -29.9716];[17.6458; -31.8081]
1280; 3; 8;[-1.7366; 45.0924];[5.5689; -26.2939];[18.9593; -31.3191]
1281; 3; 9;[-2.3090; 49.1496];[5.4911; -30.0290];[22.6043; -30.0357]
1282; 3; 10;[-2.5778; 43.5954];[4.4397; -29.7874];[20.7226; -26.5764]
1283; 3; 11;[-2.9431; 35.3566];[1.9432; -16.0745];[35.0124; -33.6752]
1284; 3; 12;[-2.6860; 44.9979];[1.2176; -31.6667];[14.9263; -29.4207]
1285; 3; 13;[-2.5369; 49.3710];[3.3007; -30.1545];[17.5115; -31.4248]
1286; 3; 14;[-1.7890; 35.4582];[0.0000; 0.0000];[38.9824; -34.3788]
1287; 3; 15;[-1.9452; 44.7982];[0.0000; 0.0000];[27.6346; -32.5672]
1288; 3; 16;[-1.1493; 45.9656];[3.7455; -1.1916];[46.3036; -36.0941]
1289; 3; 17;[-0.4047; 36.1970];[3.5732; -2.0303];[43.4299; -36.1145]
1290; 3; 18;[-0.2358; 51.0282];[1.9959; -6.1549];[43.4556; -38.1143]
1291; 3; 19;[-0.2411; 47.8055];[3.8912; -16.6676];[39.0719; -37.5746]
1292; 3; 20;[-0.2256; 43.0865];[0.0000; 0.0000];[33.3197; -39.6525]
1293; 3; 21;[-0.2156; 39.5934];[4.9020; -31.8818];[35.8673; -35.5544]
1294; 3; 22;[-0.2074; 45.4654];[5.6278; -37.0080];[32.9401; -41.9016]
1295; 3; 23;[-0.2309; 32.4956];[6.4880; -33.0544];[37.5864; -33.4439]
1296; 4; 0;[-0.1761; 38.1441];[6.5735; -32.8706];[37.0594; -32.2890]
1297; 4; 1;[-0.2053; 35.5374];[5.7670; -32.9583];[38.2932; -33.3653]
1298; 4; 2;[-0.1832; 34.6858];[4.8655; -29.8980];[36.8058; -30.2290]
1299; 4; 3;[-0.1848; 39.2259];[5.4200; -33.1147];[38.9431; -32.0300]
1300; 4; 4;[-0.1912; 37.1608];[6.4959; -31.5104];[38.8884; -33.2078]
1301; 4; 5;[-0.1859; 37.3550];[6.2997; -37.6131];[48.9394; -40.0968]
1302; 4; 6;[-0.3648; 37.3741];[1.2672; -33.5760];[5.1714; -29.3783]
1303; 4; 7;[-1.1860; 37.8256];[2.9460; -37.5753];[52.0344; -39.0836]
1304; 4; 8;[-2.2193; 37.6493];[2.9682; -37.6804];[9.3759; -29.6463]
1305; 4; 9;[-2.7831; 37.8327];[2.6082; -37.2261];[49.0936; -37.4374]
1306; 4; 10;[-3.2742; 52.7296];[1.0931; -31.6667];[7.2215; -30.6085]
1307; 4; 11;[-3.4264; 52.5591];[0.7172; -31.6667];[10.5061; -27.6518]
1308; 4; 12;[-3.2393; 59.5156];[0.6454; -31.6667];[10.3396; -29.1983]
1309; 4; 13;[-2.6386; 52.4014];[0.6486; -28.7293];[37.9519; -10.7316]
1310; 4; 14;[-2.4895; 39.7139];[1.7219; -25.0504];[45.6446; -38.9387]
1311; 4; 15;[-2.1069; 39.8374];[0.6847; -13.7555];[52.1821; -29.7435]
1312; 4; 16;[-1.1277; 39.5221];[0.7779; -31.0745];[46.5955; -38.1574]
1313; 4; 17;[-0.3703; 52.6125];[0.4738; -0.5532];[49.6746; -33.2311]
1314; 4; 18;[-0.2275; 44.7766];[0.7012; -11.2734];[48.8825; -16.4211]
1315; 4; 19;[-0.1991; 57.2007];[0.7053; -0.2778];[39.2167; -0.9380]
1316; 4; 20;[-0.1860; 62.4660];[0.5465; -1.5432];[39.8708; -21.3252]
1317; 4; 21;[-0.1602; 46.4937];[0.6197; -18.0783];[37.5898; -40.3708]
1318; 4; 22;[-0.1971; 36.0425];[1.2695; -33.2119];[35.7930; -36.6734]
1319; 4; 23;[-0.1313; 37.8028];[1.7076; -37.5872];[36.1193; -37.1890]
1320; 5; 0;[-0.1380; 33.4489];[1.6746; -33.4053];[40.5876; -32.6264]
1321; 5; 1;[-0.1409; 35.1864];[1.1366; -33.3490];[40.0420; -30.7575]
