ts; dow; hod;default broker_mwh; default broker_price ;COLDPower18_mwh; COLDPower18_price ;EWIIS3_mwh; EWIIS3_price ;AgentUDE_mwh; AgentUDE_price ;Bunnie_mwh; Bunnie_price 
1155; 6; 3;[-0.2001; 33.8038];[3.5055; 1.9891];[0.0000; 0.0000];[2.0344; 27.7837];[42.5674; -30.3766]
1156; 6; 4;[-0.2213; 33.2562];[6.0627; -7.7498];[0.0000; 0.0000];[1.2797; 25.5424];[42.8037; -29.8157]
1157; 6; 5;[-0.1911; 34.8219];[6.9716; -13.9927];[0.0000; 0.0000];[0.8647; 66.2278];[53.9642; -30.1036]
1158; 6; 6;[-0.1981; 34.5337];[7.2176; -19.2847];[0.0000; 0.0000];[0.6364; 56.8266];[65.6957; -35.4333]
1159; 6; 7;[-0.2254; 45.5277];[-0.8147; 114.8764];[0.0000; 0.0000];[0.2600; 419.3502];[64.4894; -37.5265]
1160; 6; 8;[-0.1800; 44.4317];[3.0532; -33.0154];[0.0000; 0.0000];[-2.3845; 42.3070];[70.3074; -38.0295]
1161; 6; 9;[-0.2100; 36.9904];[0.0000; 0.0000];[0.0000; 0.0000];[-3.1730; 44.3378];[54.5998; -32.5867]
1162; 6; 10;[-0.2679; 49.8290];[7.1274; -25.7541];[0.0000; 0.0000];[-4.0008; 43.9402];[55.0679; -35.8648]
1163; 6; 11;[-0.1367; 35.6381];[5.0000; -0.0228];[0.0000; 0.0000];[-4.5560; 39.4649];[48.6825; -32.2052]
1164; 6; 12;[-0.1392; 48.3224];[1.0908; 93.4630];[0.0000; 0.0000];[-4.8588; 48.5765];[41.8905; -25.1709]
1165; 6; 13;[-0.1338; 41.6236];[4.9720; -36.4036];[0.0000; 0.0000];[-4.5010; 43.3932];[40.2818; -26.0622]
1166; 6; 14;[-0.1344; 39.2337];[6.5410; -15.5109];[0.0000; 0.0000];[-3.5227; 59.7743];[51.0794; -37.9355]
1167; 6; 15;[-0.1501; 57.3725];[0.0000; 0.0000];[0.0000; 0.0000];[-2.9473; 55.6066];[44.2991; -35.3029]
1168; 6; 16;[-0.1760; 56.3752];[0.0000; 0.0000];[0.0000; 0.0000];[-1.8709; 47.8828];[19.9804; -33.7705]
1169; 6; 17;[-0.1508; 38.0562];[0.0000; 0.0000];[0.0000; 0.0000];[-0.6712; 33.1839];[41.4348; -39.9193]
1170; 6; 18;[-0.1371; 55.3612];[0.5646; -35.5895];[0.0000; 0.0000];[-0.5228; 35.8512];[30.3121; -36.0877]
1171; 6; 19;[-0.2344; 119.0630];[0.0000; 0.0000];[0.0000; 0.0000];[-0.2906; 151.4837];[38.9496; -35.6261]
1172; 6; 20;[-0.2341; 45.5356];[0.0000; 0.0000];[0.0000; 0.0000];[3.9725; -64.5596];[43.3970; -24.6879]
1173; 6; 21;[-0.1824; 54.1578];[3.8009; -18.6155];[0.0000; 0.0000];[1.5103; 27.2512];[34.9261; -44.8163]
1174; 6; 22;[-0.1277; 39.2236];[0.0000; 0.0000];[0.0000; 0.0000];[1.1185; 8.5777];[36.7591; -33.0240]
1175; 6; 23;[-0.2275; 38.3271];[0.0000; 0.0000];[0.0000; 0.0000];[0.8317; -8.0368];[39.4005; -35.8054]
1176; 7; 0;[-0.1920; 39.5622];[0.0000; 0.0000];[0.0000; 0.0000];[-0.8368; 29.6435];[45.0595; -29.2900]
1177; 7; 1;[-0.2297; 32.5491];[3.6375; -15.6996];[0.0000; 0.0000];[-0.5315; 21.6416];[45.1285; -33.1403]
1178; 7; 2;[-0.2161; 38.0359];[4.6312; 12.3289];[0.0000; 0.0000];[-0.8563; 30.0432];[47.7213; -27.7664]
1179; 7; 3;[-0.1884; 32.1876];[6.8932; -21.7626];[0.0000; 0.0000];[-1.0507; 33.9852];[39.3086; -20.9912]
1180; 7; 4;[-0.2046; 34.9230];[4.9101; -18.4347];[0.0000; 0.0000];[-0.6024; 47.9177];[41.4095; -28.2002]
1181; 7; 5;[-0.2455; 38.2724];[4.6706; -11.4971];[0.0000; 0.0000];[-0.3599; 34.0189];[48.7916; -32.4481]
1182; 7; 6;[-0.1935; 46.5992];[1.0723; 16.7023];[0.0000; 0.0000];[-0.7905; 39.9293];[55.6118; -37.6704]
1183; 7; 7;[-0.1007; 42.2048];[0.1639; -12.4185];[0.0000; 0.0000];[-1.3128; 66.6694];[54.2788; -37.3302]
1184; 7; 8;[-0.1347; 35.0346];[5.2338; -37.4846];[0.0000; 0.0000];[0.0000; 0.0000];[63.5628; -34.5066]
1185; 7; 9;[-0.1033; 38.2833];[2.9801; -1.8290];[0.0000; 0.0000];[-3.1476; -0.4097];[52.7102; -37.5914]
1186; 7; 10;[-0.1064; 38.6828];[5.0000; -17.4111];[0.0000; 0.0000];[-3.6470; 44.7347];[48.4909; -34.2127]
1187; 7; 11;[-0.1200; 39.0187];[9.4362; -16.9380];[0.0000; 0.0000];[-3.9090; 30.2696];[43.2748; -37.2263]
1188; 7; 12;[-0.0843; 40.8487];[1.5150; -32.4951];[0.0000; 0.0000];[-3.9279; 49.0213];[40.9572; -33.4757]
1189; 7; 13;[-0.2155; 39.4291];[7.0018; -18.0971];[0.0000; 0.0000];[-3.6607; 45.7221];[40.8984; -29.3367]
