ts; dow; hod;default broker_mwh; default broker_price ;CrocodileAgent_mwh; CrocodileAgent_price ;COLDPower18_mwh; COLDPower18_price ;VidyutVanika_mwh; VidyutVanika_price ;Bunnie_mwh; Bunnie_price 
1045; 6; 13;[-0.0117; 43.4128];[1.3971; -9.8113];[5.0000; -40.1692];[39.8586; -32.2392];[32.2090; -42.0702]
1046; 6; 14;[0.0000; 0.0000];[1.4537; -32.3839];[5.0000; -38.3740];[43.3982; -36.2094];[18.8657; -37.5614]
1047; 6; 15;[-0.0162; 44.9021];[1.3823; -29.5164];[5.0000; -41.1868];[42.7835; -38.7046];[25.0293; -43.4210]
1048; 6; 16;[-0.0137; 44.6138];[1.3308; -36.4084];[6.1840; -43.7621];[37.9672; -39.4129];[25.5261; -41.2152]
1049; 6; 17;[-0.0168; 40.9032];[1.9467; -20.9000];[5.3184; -38.0891];[43.8971; -34.4605];[24.5261; -34.6183]
1050; 6; 18;[-0.0149; 43.1720];[1.6532; -29.1817];[5.0000; -43.1720];[41.9420; -38.1535];[30.7033; -38.8193]
1051; 6; 19;[-0.0155; 31.3504];[1.3488; -27.3653];[5.0000; -29.5151];[38.2067; -28.3108];[23.8431; -27.0687]
1052; 6; 20;[0.0000; 0.0000];[1.2111; -14.5488];[5.0000; -37.9979];[36.6261; -33.2829];[7.4080; -40.1361]
1053; 6; 21;[-0.0144; 30.0879];[1.1270; -23.7186];[5.0000; -27.3530];[34.2120; -25.1245];[6.1829; -28.0562]
1054; 6; 22;[-0.0130; 30.0006];[1.2136; -24.8523];[5.0000; -30.4833];[29.7738; -27.9582];[5.8629; -24.0785]
1055; 6; 23;[-0.0135; 32.1370];[1.3309; -25.2219];[1.8594; -15.4031];[27.4749; -28.3618];[6.1511; -25.0824]
1056; 7; 0;[-0.0109; 26.1054];[1.3372; -20.3025];[5.0000; -26.0380];[25.0614; -22.6903];[5.1318; -17.0725]
1057; 7; 1;[-0.0155; 27.6797];[1.3863; -19.5074];[5.0000; -26.4349];[24.1517; -24.9958];[4.7383; -23.1921]
1058; 7; 2;[-0.0302; 5.8640];[1.9043; -12.7501];[0.8521; 1.6314];[26.4336; -25.2504];[6.4209; -21.7987]
1059; 7; 3;[-0.0279; 30.0657];[2.1136; -23.5146];[1.0587; -17.5681];[29.9593; -24.3110];[5.9058; -28.3563]
1060; 7; 4;[-0.2913; 30.6426];[2.2820; -23.6529];[5.0000; -27.0167];[38.3477; -23.8795];[4.5385; -28.1993]
1061; 7; 5;[0.0000; 0.0000];[2.5351; -23.1213];[5.0000; -28.9162];[39.1386; -26.2219];[7.7938; -24.1055]
1062; 7; 6;[-0.1017; 40.1073];[1.7588; -35.5962];[-0.1789; 495.6316];[35.6178; -34.7241];[7.0253; -42.3701]
1063; 7; 7;[-0.4917; 44.3604];[1.4016; -28.9406];[3.4413; -11.5602];[40.6954; -40.6910];[6.7471; -48.4553]
1064; 7; 8;[-0.8511; 36.0376];[3.0285; -32.4291];[5.0000; -33.2237];[36.4453; -32.4257];[8.4161; -34.7136]
1065; 7; 9;[-1.1662; 37.3111];[4.5919; -29.8616];[0.0000; 0.0000];[32.8735; -36.2591];[7.7219; -33.7679]
1066; 7; 10;[-1.3509; 40.0764];[3.0994; -34.4399];[1.7023; -19.9957];[35.2390; -36.1093];[6.5049; -41.6948]
1067; 7; 11;[-1.5447; 29.7666];[2.4054; -23.7102];[-0.1608; 56.9226];[33.7916; -38.2014];[6.6341; -48.6250]
1068; 7; 12;[-1.5626; 30.1045];[2.5199; -26.9657];[5.0000; -40.5297];[33.6690; -37.3770];[6.9420; -50.1082]
1069; 7; 13;[-1.2517; 26.0775];[5.1958; -33.1571];[5.0000; -35.5409];[36.1789; -32.0905];[8.1728; -40.2672]
1070; 7; 14;[-0.2685; 41.3297];[5.1713; -36.1248];[5.0000; -37.7608];[29.5803; -55.9040];[8.8671; -43.4401]
1071; 7; 15;[-0.1892; 33.9263];[9.4917; -29.5805];[5.0000; -32.3248];[28.9380; -37.6036];[9.8891; -27.7837]
1072; 7; 16;[-0.4375; 40.0342];[6.0935; -31.9504];[6.4239; -40.6765];[26.6966; -46.2688];[10.6308; -30.8696]
1073; 7; 17;[-0.1205; 49.7540];[2.4298; -27.3316];[5.0000; -48.4518];[31.9462; -52.8274];[9.6296; -40.9670]
1074; 7; 18;[-0.0549; 42.3590];[3.7286; -36.5434];[5.8109; -43.4705];[29.1586; -42.8674];[9.1338; -38.0605]
1075; 7; 19;[-0.0541; 35.8526];[4.9003; -27.8903];[5.0000; -34.8778];[27.7659; -33.9790];[7.7840; -41.1541]
1076; 7; 20;[-0.0768; 38.9586];[4.3833; -25.9941];[5.0000; -37.3719];[27.1871; -38.2048];[6.6494; -40.5676]
1077; 7; 21;[-0.0750; 31.0953];[3.8433; -28.7791];[5.0000; -30.8467];[25.6540; -30.2597];[7.0802; -29.6333]
1078; 7; 22;[-0.0596; 33.6000];[4.1868; -32.7731];[5.0000; -27.5626];[21.5901; -32.1104];[6.7029; -41.7222]
1079; 7; 23;[-0.0793; 25.0272];[4.1932; -22.0332];[8.0340; -25.3870];[20.8484; -23.7705];[5.8297; -20.4380]
1080; 1; 0;[-0.0846; 27.5564];[6.3647; -26.6020];[7.7129; -27.4563];[20.9057; -25.8798];[6.1677; -28.8274]
1081; 1; 1;[-0.0698; 29.7901];[6.0649; -32.8353];[2.3689; -15.6805];[20.4455; -33.0170];[6.7643; -40.4359]
1082; 1; 2;[-0.0888; 26.1273];[5.5696; -23.6901];[4.2393; -24.5917];[23.0761; -25.5865];[7.0908; -20.5140]
1083; 1; 3;[-0.0860; 30.4558];[5.5615; -28.8607];[-0.1975; 136.1493];[26.2111; -28.9576];[9.1341; -27.0952]
1084; 1; 4;[-0.0857; 32.3671];[7.2053; -29.9457];[-0.9616; 49.4617];[30.8213; -30.5302];[6.1437; -20.1222]
1085; 1; 5;[-0.0579; 33.4772];[9.3381; -33.0740];[0.0000; 0.0000];[31.8537; -35.0542];[8.3892; -31.0578]
1086; 1; 6;[-0.1370; 19.3993];[9.2640; -35.4594];[-0.2239; 79.3540];[29.1950; -36.8618];[8.1127; -34.4351]
1087; 1; 7;[-0.5150; 24.3493];[13.2856; -37.3423];[3.0556; -24.0629];[36.0963; -40.0388];[8.3486; -43.8525]
1088; 1; 8;[-0.9418; 41.7906];[0.0000; 0.0000];[0.0000; 0.0000];[32.7865; -51.1945];[0.4719; -29.1761]
1089; 1; 9;[-1.2380; 35.9001];[2.4071; -19.9957];[-0.0950; 71.8801];[31.6319; -41.2021];[13.9688; -45.3137]
1090; 1; 10;[-1.4276; 19.8031];[0.0000; 0.0000];[0.0000; 0.0000];[29.9295; -52.2167];[0.2291; -30.4833]
1091; 1; 11;[-1.5131; 26.6655];[0.0000; 0.0000];[0.0000; 0.0000];[29.1467; -45.7192];[0.3217; -27.9177]
1092; 1; 12;[-1.5733; 15.3989];[0.0000; 0.0000];[0.0000; 0.0000];[27.6683; -52.4769];[0.3987; -28.5742]
1093; 1; 13;[-1.4861; 27.6129];[0.0000; 0.0000];[0.0000; 0.0000];[29.7425; -48.5261];[0.0000; 0.0000]
1094; 1; 14;[-1.2451; 34.6749];[6.8389; -37.3113];[5.0000; -45.0292];[30.9995; -46.6943];[14.5579; -35.4874]
1095; 1; 15;[-0.8135; 41.8633];[0.0000; 0.0000];[2.1014; -43.2968];[32.0337; -50.9661];[1.9467; -7.4279]
1096; 1; 16;[-0.5171; 36.7596];[7.7194; -37.3698];[7.4342; -45.3839];[29.4744; -43.7467];[17.4582; -36.8492]
1097; 1; 17;[-0.1677; 48.6174];[6.7872; -37.3057];[5.0000; -43.4064];[34.7808; -41.6591];[16.6195; -40.9482]
1098; 1; 18;[-0.1139; 41.7288];[1.2843; -19.9957];[5.0000; -44.6859];[33.6225; -41.0935];[15.2669; -43.3991]
1099; 1; 19;[-0.1135; 45.1771];[1.9516; -19.8835];[5.0000; -47.4540];[30.5412; -43.3172];[16.4763; -48.3637]
1100; 1; 20;[-0.1073; 53.9121];[0.6051; -17.9396];[5.0000; -44.2891];[25.1647; -43.6593];[14.2054; -47.8103]
1101; 1; 21;[-0.0537; 39.2412];[0.7569; -37.3098];[5.0000; -39.5211];[22.4582; -34.0930];[11.9380; -43.4911]
1102; 1; 22;[0.0000; 0.0000];[0.9904; -32.2603];[3.9603; -19.1054];[19.3854; -33.1433];[11.5922; -40.8399]
1103; 1; 23;[-0.0690; 24.7113];[1.1832; -32.1766];[4.5783; -19.0727];[17.3591; -33.2708];[11.3974; -42.5189]
1104; 2; 0;[-0.0924; 32.7397];[1.0654; -32.0382];[0.9029; -18.3518];[15.9415; -31.3031];[16.6491; -34.3617]
1105; 2; 1;[-0.0752; 32.3742];[0.6036; -32.0769];[4.5210; -19.8219];[15.8182; -31.3531];[15.4151; -35.8420]
1106; 2; 2;[-0.0711; 26.1925];[0.7453; -26.3504];[0.0000; 0.0000];[20.0252; -30.4387];[13.3968; -29.0196]
1107; 2; 3;[-0.0531; 27.0870];[1.0934; -25.9870];[4.3928; -26.5804];[22.1284; -27.3078];[13.5084; -27.4441]
1108; 2; 4;[-0.0444; 30.3030];[1.2314; -26.1890];[1.1890; -5.1019];[25.9325; -30.7269];[15.6748; -30.2730]
1109; 2; 5;[-0.0546; 30.5009];[0.9730; -31.3190];[-1.9709; 64.2705];[30.5468; -35.1101];[16.0353; -34.9732]
1110; 2; 6;[-0.2302; 45.1240];[0.0000; 0.0000];[0.0000; 0.0000];[29.1140; -46.6231];[0.0000; 0.0000]
1111; 2; 7;[-1.0091; 36.4587];[1.1747; -31.9636];[1.7331; -10.0475];[34.5483; -38.0589];[19.5823; -39.0137]
1112; 2; 8;[-0.8397; 58.9134];[0.0000; 0.0000];[0.0000; 0.0000];[27.7115; -49.1405];[7.4482; -29.1279]
1113; 2; 9;[-1.1879; 52.2574];[0.5018; -16.1558];[0.0000; 0.0000];[24.5461; -48.1111];[19.9243; -33.9499]
1114; 2; 10;[-0.7360; 60.2284];[0.7413; -30.0902];[1.2605; -21.8160];[22.9663; -47.6551];[0.8288; -30.2373]
1115; 2; 11;[-1.5904; 41.0599];[0.5466; -31.6070];[0.4967; 214.9111];[22.0318; -50.9933];[9.8866; -31.5333]
1116; 2; 12;[-1.5783; 37.6255];[0.5055; -3.8418];[5.0000; -42.4092];[20.6238; -46.0676];[19.7826; -29.5122]
1117; 2; 13;[-1.5781; 56.9750];[0.3557; -31.6667];[5.0000; -44.3196];[22.5973; -46.4372];[22.6437; -32.2928]
1118; 2; 14;[-1.0685; 79.9026];[0.5919; -6.0604];[5.0000; -44.6462];[35.3649; -45.3611];[23.6354; -38.3887]
1119; 2; 15;[-0.0113; 5543.9129];[0.5194; -1.0584];[0.0000; 0.0000];[35.1163; -47.4381];[25.7015; -30.2837]
1120; 2; 16;[-0.1239; 506.6834];[0.6865; -4.5228];[0.0000; 0.0000];[32.5441; -69.0856];[20.8380; 2.7026]
1121; 2; 17;[-0.1156; 69.3065];[0.4953; -3.6268];[0.0000; 0.0000];[35.4618; -51.0904];[19.2928; 5.5734]
1122; 2; 18;[-0.1103; 100.0990];[0.4146; -2.1733];[0.0000; 0.0000];[32.8356; -66.9365];[17.0735; 4.1308]
1123; 2; 19;[-0.1203; 82.8741];[0.4636; -2.3907];[4.8253; 37.1441];[29.7774; -60.5227];[17.1032; 11.2576]
1124; 2; 20;[-0.1113; 89.8168];[0.4340; -4.5244];[0.0000; 0.0000];[29.4263; -87.2963];[16.2754; 2.8711]
