ts; dow; hod;default broker_mwh; default broker_price ;EWIIS3_mwh; EWIIS3_price ;Bunnie_mwh; Bunnie_price 
1855; 2; 7;[-0.8921; 125.2073];[5.8560; -35.9585];[27.7527; -30.9496]
1856; 2; 8;[-1.5172; 60.9483];[0.0000; 0.0000];[33.3331; -30.7870]
1857; 2; 9;[-2.0265; 121.7351];[0.0000; 0.0000];[30.7958; -31.4834]
1858; 2; 10;[-2.5816; 89.5214];[0.0000; 0.0000];[28.7823; -32.1462]
1859; 2; 11;[-2.8564; 60.4397];[0.0000; 0.0000];[25.1901; -32.9691]
1860; 2; 12;[-2.8777; 60.5172];[0.0000; 0.0000];[27.7181; -33.2410]
1861; 2; 13;[-2.6284; 75.8746];[0.0000; 0.0000];[26.6031; -33.7333]
1862; 2; 14;[-2.2221; 60.7677];[0.0000; 0.0000];[25.4375; -34.2104]
1863; 2; 15;[-1.8468; 60.9410];[0.0000; 0.0000];[7.8756; -33.6145]
1864; 2; 16;[-1.1670; 61.8645];[0.6664; -41.6667];[6.8206; -34.0443]
1865; 2; 17;[-0.3450; 64.2029];[3.0821; -37.9118];[5.6821; -34.7287]
1866; 2; 18;[-0.2414; 67.4823];[5.9393; -40.8051];[5.7617; -34.9886]
1867; 2; 19;[-0.2226; 48.2042];[3.6819; -39.0496];[30.3647; -41.7964]
1868; 2; 20;[-0.1541; 66.4027];[2.3160; -40.4225];[12.1790; -36.6433]
1869; 2; 21;[-0.1760; 75.6137];[0.0000; 0.0000];[18.6598; -37.2485]
1870; 2; 22;[-0.1690; 40.5064];[16.4931; -23.9772];[45.6294; -43.0505]
1871; 2; 23;[-0.1660; 52.5209];[16.4931; -37.2028];[44.7524; -44.9622]
1872; 3; 0;[-0.1536; 59.1291];[16.4931; -48.9510];[14.3783; -32.2945]
1873; 3; 1;[-0.1868; 40.2898];[3.7679; -5.9450];[52.8592; -35.9807]
1874; 3; 2;[-0.1241; 47.8276];[16.4931; -44.8577];[27.2139; -32.7005]
1875; 3; 3;[-0.1144; 42.5643];[16.4931; -33.2681];[51.1132; -35.2561]
1876; 3; 4;[-0.1383; 53.9743];[16.4931; -43.1634];[57.9251; -36.5220]
1877; 3; 5;[-0.1559; 63.7706];[6.7723; -33.9829];[23.1061; -33.0166]
1878; 3; 6;[-0.3489; 62.7370];[6.4816; -39.6709];[22.2987; -31.9915]
1879; 3; 7;[-1.3657; 60.2493];[5.4978; -37.0772];[11.9642; -32.7542]
1880; 3; 8;[-2.3553; 60.2067];[0.0000; 0.0000];[29.6300; -31.5494]
1881; 3; 9;[-3.0339; 77.9899];[0.0000; 0.0000];[28.3240; -31.9322]
1882; 3; 10;[-3.6889; 60.1510];[0.8330; -39.0826];[27.1520; -32.4512]
1883; 3; 11;[-4.0834; 107.1361];[0.0000; 0.0000];[26.8085; -32.9359]
1884; 3; 12;[-3.9744; 60.0273];[0.0000; 0.0000];[24.7339; -33.3860]
1885; 3; 13;[-3.7097; 107.8927];[0.0000; 0.0000];[23.3152; -33.8590]
1886; 3; 14;[-2.9794; 78.7623];[0.0000; 0.0000];[20.3227; -34.3560]
1887; 3; 15;[-2.0374; 61.0225];[0.0000; 0.0000];[18.7853; -34.6917]
1888; 3; 16;[-1.2075; 61.3878];[2.1658; -41.6667];[9.4144; -34.5632]
1889; 3; 17;[-0.3579; 64.2488];[4.1150; -38.8835];[7.4408; -35.0826]
1890; 3; 18;[-0.2557; 85.9200];[2.7822; -41.4706];[8.3313; -35.5915]
1891; 3; 19;[-0.2637; 108.1570];[0.0000; 0.0000];[9.8233; -36.1128]
1892; 3; 20;[-0.2608; 61.7370];[0.0000; 0.0000];[7.6892; -36.5037]
1893; 3; 21;[-0.1585; 46.7944];[16.4931; -49.9018];[37.6709; -43.1671]
1894; 3; 22;[-0.2619; 46.3192];[0.1603; -27.2743];[50.7877; -43.6225]
1895; 3; 23;[-0.1482; 34.6016];[16.4931; -45.1664];[46.9587; -44.9336]
1896; 4; 0;[-0.2450; 52.8098];[16.4931; -45.5325];[5.4429; -30.3412]
1897; 4; 1;[-0.0745; 46.6542];[16.4931; -45.1969];[5.0542; -30.4824]
1898; 4; 2;[-0.1842; 47.0212];[0.0000; 0.0000];[6.3235; -30.0075]
1899; 4; 3;[-0.1246; 47.2220];[16.4931; -43.4256];[3.8986; -32.1696]
1900; 4; 4;[-0.0884; 45.1535];[16.4931; -43.8638];[51.7346; -40.7816]
1901; 4; 5;[-0.1559; 52.6416];[6.8373; -35.4729];[5.8222; -32.1530]
1902; 4; 6;[-0.4216; 59.3964];[4.2733; -39.8224];[10.2023; -30.3510]
1903; 4; 7;[-1.1691; 60.1140];[1.9409; -40.9635];[14.1693; -29.8676]
1904; 4; 8;[-2.0769; 81.3958];[0.0000; 0.0000];[16.9982; -30.1786]
1905; 4; 9;[-2.9712; 59.8023];[0.0000; 0.0000];[17.7235; -30.4781]
1906; 4; 10;[-3.6989; 108.8442];[0.5831; -41.6667];[17.6172; -30.7444]
1907; 4; 11;[-3.9385; 51.8411];[15.3626; -49.1294];[16.9403; -31.1479]
1908; 4; 12;[-3.4496; 108.7592];[0.5998; -36.9397];[18.2176; -31.6427]
1909; 4; 13;[-3.3802; 80.3274];[1.3328; -41.4380];[18.6016; -32.1773]
1910; 4; 14;[-1.8428; 54.0246];[16.4931; -48.3406];[18.4075; -32.6720]
1911; 4; 15;[-1.4848; 111.7939];[0.0000; 0.0000];[18.8944; -33.2115]
1912; 4; 16;[-0.8121; 52.6257];[16.4931; -49.4878];[17.7107; -33.6034]
1913; 4; 17;[-0.3492; 72.0879];[0.0000; 0.0000];[21.4905; -34.3913]
1914; 4; 18;[-0.2290; 54.6633];[0.0000; 0.0000];[24.1750; -35.0266]
1915; 4; 19;[-0.1328; 60.3785];[3.2487; -41.6667];[22.5869; -35.4218]
